('Polygon_number', 'Longitude', 'Latitude', 'Func_value')
0 42.9545898438 82.2522964478 1
0 42.9299697876 82.3441467285 1
0 43.619644165 82.3469161987 1
0 44.3097229004 82.3485717773 1
0 44.3013038635 82.4404907227 1
0 45.0 82.4410476685 1
0 45.0 82.5329818726 1
0 45.0 82.6249160767 1
0 45.0 82.7168655396 1
0 45.0 82.8088226318 1
0 45.0 82.9007949829 1
0 45.7440605164 82.9001922607 1
0 45.7538490295 82.9921646118 1
0 46.507434845 82.9903488159 1
0 46.5275268555 83.0822982788 1
0 46.5481567383 83.1742553711 1
0 47.3215293884 83.1711502075 1
0 48.0940589905 83.166809082 1
0 48.1363601685 83.2586746216 1
0 48.9182472229 83.2530136108 1
0 49.6986808777 83.2461013794 1
0 49.7636413574 83.3377914429 1
0 50.5529708862 83.3295211792 1
0 50.6306838989 83.4210968018 1
0 51.4287490845 83.4114303589 1
0 52.2243156433 83.4004898071 1
0 53.0170936584 83.3882904053 1
0 53.1301040649 83.4794006348 1
0 53.2463226318 83.5704879761 1
0 54.057888031 83.556640625 1
0 54.188835144 83.6475143433 1
0 55.0079803467 83.6321640015 1
0 55.1542663574 83.7227859497 1
0 55.9806518555 83.705909729 1
0 56.1428909302 83.7962417603 1
0 56.9761314392 83.7778015137 1
0 57.8042678833 83.7580490112 1
0 58.6269950867 83.7369995117 1
0 58.8286514282 83.826423645 1
0 59.6567497253 83.8037719727 1
0 59.8756828308 83.892791748 1
0 60.1010971069 83.9817199707 1
0 60.9453964233 83.9570846558 1
0 61.7826423645 83.9311447144 1
0 62.0377693176 84.0192260742 1
0 62.8786964417 83.991607666 1
0 63.7117385864 83.9627075195 1
0 63.9966545105 84.0498352051 1
0 64.8321304321 84.0192260742 1
0 65.6589126587 83.9873657227 1
0 66.4767913818 83.9542694092 1
0 66.8014068604 84.0398483276 1
0 67.6198654175 84.0050506592 1
0 67.9637756348 84.0899276733 1
0 68.3177108765 84.1745986938 1
0 69.1455383301 84.1375427246 1
0 69.9627914429 84.099281311 1
0 70.7693252563 84.0598297119 1
0 71.161567688 84.142616272 1
0 71.965713501 84.1014404297 1
0 72.7585372925 84.0591201782 1
0 73.1785888672 84.1404418945 1
0 73.9676589966 84.0963973999 1
0 74.7448806763 84.0512619019 1
0 75.191619873 84.1310272217 1
0 75.9637527466 84.0841827393 1
0 76.7236022949 84.0362930298 1
0 77.1957321167 84.1144104004 1
0 77.94921875 84.0648345947 1
0 78.690071106 84.0142593384 1
0 79.4183654785 83.9627075195 1
0 80.1341934204 83.910194397 1
0 80.8376541138 83.8567504883 1
0 81.0273742676 83.7281951904 1
0 80.5376815796 83.6535263062 1
0 80.059425354 83.578414917 1
0 80.059425354 83.578414917 1
0 80.2563552856 83.4501800537 1
0 80.2563552856 83.4501800537 1
0 80.4457092285 83.3218917847 1
0 79.9920196533 83.2467269897 1
0 79.9920196533 83.2467269897 1
0 80.6279067993 83.1935501099 1
0 80.8033447266 83.0651550293 1
0 80.8033447266 83.0651550293 1
0 81.4163818359 83.0109481812 1
0 82.0198898315 82.9559555054 0
0 82.1644744873 82.8271255493 0
0 82.1644744873 82.8271255493 0
0 82.3039474487 82.6982650757 0
0 82.3039474487 82.6982650757 0
0 82.4385681152 82.5693893433 0
0 82.0106735229 82.4961853027 0
0 82.0106735229 82.4961853027 0
0 82.1466903687 82.3674240112 0
0 82.1466903687 82.3674240112 0
0 82.278175354 82.2386398315 0
0 82.278175354 82.2386398315 0
0 82.4053573608 82.1098327637 0
0 82.0025253296 82.0366439819 0
0 82.0025253296 82.0366439819 0
0 82.1309280396 81.9079589844 0
0 82.1309280396 81.9079589844 0
0 82.2552871704 81.7792434692 0
0 82.2552871704 81.7792434692 0
0 82.3758087158 81.6505203247 0
0 82.3758087158 81.6505203247 0
0 82.4926528931 81.521774292 0
0 82.116859436 81.4487380981 0
0 82.116859436 81.4487380981 0
0 82.2348327637 81.3201065063 0
0 82.2348327637 81.3201065063 0
0 82.3493499756 81.1914596558 0
0 81.8698959351 81.2468414307 0
0 81.3843536377 81.301612854 2
0 80.8926620483 81.3557510376 0
0 80.5376815796 81.281211853 0
0 80.0419311523 81.3342514038 2
0 79.5400924683 81.3866348267 1
0 79.195602417 81.3108520508 1
0 78.690071106 81.3621139526 1
0 78.1785125732 81.4127044678 1
0 77.8450546265 81.3357162476 1
0 77.3301849365 81.3851623535 1
0 77.0053863525 81.3074493408 1
0 76.6863708496 81.2294692993 1
0 76.373008728 81.1512298584 1
0 76.0651626587 81.0727386475 1
0 75.5559616089 81.1197509766 1
0 75.256439209 81.0405960083 1
0 74.9621810913 80.9612121582 1
0 74.4536743164 81.006690979 1
0 73.9400100708 81.0514602661 1
0 73.657119751 80.9710388184 1
0 73.1416015625 81.0146865845 1
0 72.6210784912 81.0576019287 0
0 72.0955505371 81.0997772217 0
0 71.5650482178 81.141204834 0
0 71.0295944214 81.1818618774 0
0 70.4891967773 81.2217559814 0
0 69.9439086914 81.2608642578 0
0 69.393737793 81.2991790771 0
0 68.8387374878 81.3366928101 0
0 68.2789459229 81.3733825684 0
0 68.0394363403 81.2889785767 0
0 67.4794311523 81.3244934082 0
0 67.4794311523 81.3244934082 0
0 67.1451797485 81.4442901611 0
0 66.5713043213 81.4784698486 2
0 65.9928512573 81.5118026733 2
0 65.9928512573 81.5118026733 2
0 66.2179718018 81.5974731445 0
0 66.4477386475 81.6830215454 0
