FID;ET_X;ET_Y
0;-11.500159999999999;81.350719999999995
1;-11.602819999999999;81.384029999999996
2;-11.670380000000000;81.418830000000000
3;-11.716500000000000;81.466830000000002
4;-11.810400000000000;81.512389999999996
5;-12.071650000000000;81.563389999999998
6;-12.233499999999999;81.583169999999996
7;-12.366500000000000;81.600170000000006
8;-12.783500000000000;81.633170000000007
9;-12.883170000000000;81.650170000000003
10;-13.133500000000000;81.683170000000004
11;-13.166499999999999;81.700170000000000
12;-13.202360000000001;81.717569999999995
13;-13.533370000000000;81.763769999999994
14;-14.253259999999999;81.749080000000006
15;-14.718120000000001;81.715170000000001
16;-14.894209999999999;81.718760000000003
17;-15.116500000000000;81.699830000000006
18;-15.350160000000001;81.683499999999995
19;-15.434799999999999;81.666169999999994
20;-15.491830000000000;81.606809999999996
21;-15.988670000000001;81.616950000000003
22;-16.083169999999999;81.651139999999998
23;-16.049840000000000;81.683170000000004
24;-16.033500000000000;81.701319999999996
25;-16.269110000000001;81.766499999999994
26;-16.367509999999999;81.732820000000004
27;-16.366129999999998;81.665490000000005
28;-16.266290000000001;81.600030000000004
29;-16.291319999999999;81.575969999999998
30;-16.433170000000000;81.600170000000006
31;-16.693390000000001;81.628439999999998
32;-16.870069999999998;81.577309999999997
33;-16.916499999999999;81.541089999999997
34;-16.866499999999998;81.516829999999999
35;-16.833500000000001;81.488969999999995
36;-17.162700000000001;81.465959999999995
37;-17.249839999999999;81.399829999999994
38;-17.439730000000001;81.373320000000007
39;-17.633170000000000;81.416830000000004
40;-17.916830000000001;81.433170000000004
41;-17.975030000000000;81.463139999999996
42;-18.201740000000001;81.483310000000003
43;-18.066500000000001;81.499830000000003
44;-17.982830000000000;81.516970000000001
45;-17.983660000000000;81.557829999999996
46;-18.240490000000001;81.585740000000001
47;-18.485289999999999;81.580740000000006
48;-18.667510000000000;81.549660000000003
49;-18.666490000000000;81.499840000000006
50;-18.772020000000001;81.474109999999996
51;-19.016829999999999;81.450170000000000
52;-19.133170000000000;81.416499999999999
53;-19.292090000000002;81.383499999999998
54;-19.260639999999999;81.444540000000003
55;-19.283680000000000;81.466669999999993
56;-19.266500000000001;81.483170000000001
57;-19.250160000000001;81.554730000000006
58;-19.367509999999999;81.583330000000004
59;-19.298710000000000;81.600110000000001
60;-19.623400000000000;81.617760000000004
61;-19.749839999999999;81.650170000000003
62;-19.900849999999998;81.666499999999999
63;-19.899500000000000;81.600160000000002
64;-19.925850000000001;81.574839999999995
65;-19.838740000000001;81.546559999999999
66;-20.671920000000000;81.375619999999998
67;-20.783010000000001;81.291330000000002
68;-20.967770000000002;81.261250000000004
69;-21.090669999999999;81.219189999999998
70;-21.433499999999999;81.183499999999995
71;-21.516500000000001;81.166499999999999
72;-21.635710000000000;81.149860000000004
73;-21.766279999999998;81.105170000000001
74;-22.020479999999999;81.049369999999996
75;-22.116499999999998;81.016499999999994
76;-22.400160000000000;80.966830000000002
77;-22.466500000000000;80.949830000000006
78;-22.550160000000002;80.933499999999995
79;-22.633170000000000;80.916499999999999
80;-22.816830000000000;80.900170000000003
81;-22.950460000000000;80.880640000000000
82;-22.949200000000001;80.818879999999993
83;-23.085120000000000;80.800169999999994
84;-23.171450000000000;80.844639999999998
85;-23.199839999999998;80.896129999999999
86;-23.033169999999998;80.916499999999999
87;-22.950160000000000;80.950170000000000
88;-22.833169999999999;80.966499999999996
89;-22.602070000000001;81.025729999999996
90;-22.515889999999999;81.084149999999994
91;-22.383170000000000;81.116500000000002
92;-22.270879999999998;81.145280000000000
93;-22.226289999999999;81.191689999999994
94;-22.099820000000001;81.232730000000004
95;-22.100519999999999;81.266810000000007
96;-21.770350000000001;81.289890000000000
97;-21.440190000000001;81.374499999999998
98;-21.360990000000001;81.456930000000000
99;-21.199839999999998;81.483170000000001
100;-21.166830000000001;81.501140000000007
101;-21.200730000000000;81.533720000000002
102;-21.119810000000001;81.572980000000001
103;-21.095720000000000;81.647189999999995
104;-21.016500000000001;81.666499999999999
105;-20.950160000000000;81.692239999999998
106;-21.004090000000001;81.718400000000003
107;-21.049840000000000;81.771389999999997
108;-20.955030000000001;81.841669999999993
109;-21.033840000000001;81.900090000000006
110;-21.032990000000002;81.941990000000004
111;-21.100339999999999;81.974670000000003
112;-21.099820000000001;82.000799999999998
113;-21.145900000000001;82.045079999999999
114;-21.754740000000002;82.074879999999993
115;-21.999839999999999;82.049830000000000
116;-22.800160000000002;82.033500000000004
117;-23.177540000000000;82.005970000000005
118;-23.270389999999999;81.982169999999996
119;-23.377669999999998;81.926910000000007
